a,b,c
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.359,0.599,0.042
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.046,0.725,0.229
0.0,1.0,0.0
0.086,0.821,0.093
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.243,0.485,0.272
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.126,0.811,0.063
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.14,0.809,0.051
0.07,0.875,0.055
0.0,0.868,0.132
0.0,0.843,0.157
0.159,0.79,0.051
0.0,1.0,0.0
0.0,0.936,0.064
0.14,0.86,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.1,0.9,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.123,0.778,0.099
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.885,0.115
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.843,0.157
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.938,0.062
0.0,1.0,0.0
0.0,1.0,0.0
0.047,0.66,0.292
0.0,1.0,0.0
0.0,1.0,0.0
0.085,0.819,0.096
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.909,0.091
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.035,0.965,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.218,0.782,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.349,0.651,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.157,0.843,0.0
0.074,0.926,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.856,0.144
0.0,0.909,0.091
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.875,0.125
0.545,0.455,0.0
0.0,1.0,0.0
0.0,0.891,0.109
0.0,0.891,0.109
0.0,1.0,0.0
0.0,0.891,0.109
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.115,0.885,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.159,0.799,0.042
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.843,0.157
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.14,0.86,0.0
0.0,1.0,0.0
0.094,0.769,0.137
0.085,0.915,0.0
0.133,0.831,0.036
0.085,0.915,0.0
0.085,0.915,0.0
0.273,0.727,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.106,0.894,0.0
0.0,0.896,0.104
0.0,0.857,0.143
0.0,0.857,0.143
0.0,0.857,0.143
0.0,0.889,0.111
0.0,1.0,0.0
0.0,0.928,0.072
0.0,1.0,0.0
0.0,0.928,0.072
0.0,1.0,0.0
0.0,0.928,0.072
0.064,0.734,0.202
0.0,1.0,0.0
0.116,0.884,0.0
0.178,0.738,0.083
0.0,0.641,0.359
0.0,0.889,0.111
0.0,0.641,0.359
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.939,0.061
0.052,0.713,0.235
0.0,0.889,0.111
0.0,0.858,0.142
0.0,0.889,0.111
0.077,0.923,0.0
0.113,0.824,0.064
0.0,0.889,0.111
0.116,0.884,0.0
0.0,1.0,0.0
0.135,0.865,0.0
0.081,0.828,0.09
0.0,0.787,0.213
0.0,0.97,0.03
0.113,0.824,0.064
0.0,0.567,0.433
0.115,0.885,0.0
0.113,0.824,0.064
0.0,0.886,0.114
0.0,0.876,0.124
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.862,0.138
0.065,0.708,0.227
0.113,0.824,0.064
0.113,0.824,0.064
0.117,0.883,0.0
0.113,0.824,0.064
0.12,0.815,0.064
0.126,0.664,0.209
0.123,0.778,0.099
0.0,0.885,0.115
0.117,0.883,0.0
0.0,1.0,0.0
0.117,0.883,0.0
0.133,0.867,0.0
0.0,1.0,0.0
0.0,0.886,0.114
0.113,0.824,0.064
0.0,1.0,0.0
0.135,0.865,0.0
0.259,0.741,0.0
0.113,0.824,0.064
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.239,0.649,0.112
0.0,1.0,0.0
0.113,0.824,0.064
0.0,0.641,0.359
0.0,1.0,0.0
0.116,0.884,0.0
0.116,0.884,0.0
0.113,0.824,0.064
0.0,0.641,0.359
0.142,0.858,0.0
0.113,0.824,0.064
0.116,0.884,0.0
0.116,0.884,0.0
0.113,0.824,0.064
0.115,0.885,0.0
0.142,0.858,0.0
0.085,0.915,0.0
0.113,0.824,0.064
0.0,0.641,0.359
0.0,0.641,0.359
0.122,0.878,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.142,0.858,0.0
0.106,0.894,0.0
0.085,0.915,0.0
0.085,0.915,0.0
0.116,0.884,0.0
0.0,0.856,0.144
0.142,0.858,0.0
0.113,0.824,0.064
0.142,0.858,0.0
0.113,0.824,0.064
0.115,0.885,0.0
0.116,0.884,0.0
0.116,0.884,0.0
0.113,0.824,0.064
0.113,0.824,0.064
0.142,0.858,0.0
0.0,0.711,0.289
0.106,0.894,0.0
0.142,0.858,0.0
0.113,0.824,0.064
0.142,0.858,0.0
0.142,0.858,0.0
0.0,0.856,0.144
0.0,0.846,0.154
0.142,0.858,0.0
0.113,0.824,0.064
0.142,0.858,0.0
0.115,0.885,0.0
0.113,0.824,0.064
0.0,1.0,0.0
0.142,0.858,0.0
0.113,0.824,0.064
0.113,0.824,0.064
0.113,0.824,0.064
0.045,0.809,0.146
0.045,0.809,0.146
0.045,0.809,0.146
0.113,0.824,0.064
0.0,0.619,0.381
0.142,0.858,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.882,0.118
0.156,0.657,0.187
0.142,0.858,0.0
0.0,1.0,0.0
0.113,0.824,0.064
0.066,0.751,0.183
0.0,0.855,0.145
0.0,0.855,0.145
0.113,0.824,0.064
0.142,0.858,0.0
0.066,0.751,0.183
0.142,0.858,0.0
0.113,0.824,0.064
0.142,0.858,0.0
0.113,0.824,0.064
0.0,1.0,0.0
0.113,0.824,0.064
0.142,0.858,0.0
0.142,0.858,0.0
0.113,0.824,0.064
0.113,0.824,0.064
0.142,0.858,0.0
0.113,0.824,0.064
0.142,0.858,0.0
0.113,0.824,0.064
0.142,0.858,0.0
0.113,0.824,0.064
0.0,1.0,0.0
0.142,0.858,0.0
0.142,0.858,0.0
0.108,0.824,0.068
0.0,1.0,0.0
0.064,0.716,0.22
0.142,0.858,0.0
0.143,0.857,0.0
0.113,0.824,0.064
0.182,0.761,0.057
0.142,0.858,0.0
0.182,0.761,0.057
0.113,0.824,0.064
0.113,0.824,0.064
0.142,0.858,0.0
0.143,0.857,0.0
0.113,0.824,0.064
0.143,0.857,0.0
0.143,0.857,0.0
0.0,1.0,0.0
0.113,0.824,0.064
0.143,0.857,0.0
0.113,0.824,0.064
0.142,0.858,0.0
0.142,0.858,0.0
0.113,0.824,0.064
0.069,0.844,0.087
0.142,0.858,0.0
0.113,0.824,0.064
0.113,0.824,0.064
0.142,0.858,0.0
0.142,0.858,0.0
0.113,0.824,0.064
0.113,0.824,0.064
0.113,0.824,0.064
0.142,0.858,0.0
0.113,0.824,0.064
0.113,0.824,0.064
0.113,0.824,0.064
0.113,0.824,0.064
0.142,0.858,0.0
0.142,0.858,0.0
0.142,0.858,0.0
0.113,0.824,0.064
0.113,0.824,0.064
0.113,0.824,0.064
0.0,0.842,0.158
0.142,0.858,0.0
0.0,1.0,0.0
0.156,0.657,0.187
0.0,1.0,0.0
0.113,0.824,0.064
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.842,0.158
0.142,0.858,0.0
0.0,1.0,0.0
0.0,0.876,0.124
0.121,0.83,0.049
0.0,1.0,0.0
0.158,0.651,0.191
0.156,0.657,0.187
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.828,0.172
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.113,0.824,0.064
0.0,1.0,0.0
0.113,0.824,0.064
0.113,0.824,0.064
0.113,0.824,0.064
0.113,0.824,0.064
0.113,0.824,0.064
0.113,0.824,0.064
0.142,0.858,0.0
0.142,0.858,0.0
0.0,1.0,0.0
0.142,0.858,0.0
0.142,0.858,0.0
0.0,1.0,0.0
0.142,0.858,0.0
0.156,0.657,0.187
0.0,1.0,0.0
0.142,0.858,0.0
0.0,1.0,0.0
0.064,0.716,0.22
0.142,0.858,0.0
0.156,0.657,0.187
0.158,0.651,0.191
0.0,1.0,0.0
0.0,1.0,0.0
0.174,0.758,0.068
0.246,0.754,0.0
0.385,0.615,0.0
0.236,0.764,0.0
0.255,0.745,0.0
0.142,0.858,0.0
0.142,0.858,0.0
0.064,0.716,0.22
0.142,0.858,0.0
0.064,0.716,0.22
0.142,0.858,0.0
0.142,0.858,0.0
0.142,0.858,0.0
0.142,0.858,0.0
0.0,1.0,0.0
0.142,0.858,0.0
0.142,0.858,0.0
0.142,0.858,0.0
0.142,0.858,0.0
0.142,0.858,0.0
0.142,0.858,0.0
0.142,0.858,0.0
0.142,0.858,0.0
0.142,0.858,0.0
0.0,0.785,0.215
0.142,0.858,0.0
0.142,0.858,0.0
0.0,0.805,0.195
0.142,0.858,0.0
0.142,0.858,0.0
0.142,0.858,0.0
0.142,0.858,0.0
0.142,0.858,0.0
0.142,0.858,0.0
0.142,0.858,0.0
0.142,0.858,0.0
0.0,1.0,0.0
0.142,0.858,0.0
0.142,0.858,0.0
0.0,0.863,0.137
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.876,0.124
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.089,0.776,0.135
0.0,0.649,0.351
0.116,0.884,0.0
0.0,0.778,0.222
0.0,0.778,0.222
0.0,0.803,0.197
0.0,0.856,0.144
0.0,0.662,0.338
0.106,0.894,0.0
0.0,0.863,0.137
0.0,1.0,0.0
0.0,0.649,0.351
0.0,0.863,0.137
0.0,0.863,0.137
0.064,0.716,0.22
0.184,0.594,0.222
0.123,0.716,0.16
0.123,0.716,0.16
0.123,0.716,0.16
0.065,0.74,0.195
0.123,0.716,0.16
0.0,0.838,0.162
0.092,0.524,0.384
0.0,0.838,0.162
0.0,0.838,0.162
0.0,1.0,0.0
0.097,0.903,0.0
0.097,0.903,0.0
0.123,0.716,0.16
0.123,0.716,0.16
0.116,0.884,0.0
0.077,0.923,0.0
0.077,0.923,0.0
0.0,1.0,0.0
0.081,0.828,0.09
0.077,0.923,0.0
0.098,0.902,0.0
0.123,0.716,0.16
0.097,0.903,0.0
0.0,0.903,0.097
0.0,0.937,0.063
0.0,1.0,0.0
0.123,0.716,0.16
0.082,0.674,0.244
0.0,1.0,0.0
0.0,0.868,0.132
0.0,0.874,0.126
0.0,0.862,0.138
0.0,1.0,0.0
0.097,0.903,0.0
0.064,0.716,0.22
0.064,0.734,0.202
0.097,0.903,0.0
0.0,0.652,0.348
0.0,1.0,0.0
0.135,0.865,0.0
0.123,0.716,0.16
0.123,0.716,0.16
0.064,0.716,0.22
0.0,1.0,0.0
0.123,0.716,0.16
0.135,0.865,0.0
0.0,0.876,0.124
0.097,0.903,0.0
0.066,0.728,0.207
0.065,0.74,0.195
0.097,0.903,0.0
0.087,0.783,0.13
0.0,0.9,0.1
0.0,1.0,0.0
0.2,0.8,0.0
0.0,1.0,0.0
0.123,0.716,0.16
0.115,0.885,0.0
0.082,0.918,0.0
0.123,0.716,0.16
0.123,0.716,0.16
0.123,0.716,0.16
0.123,0.716,0.16
0.121,0.81,0.068
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.123,0.716,0.16
0.123,0.716,0.16
0.0,1.0,0.0
0.0,1.0,0.0
0.123,0.716,0.16
0.055,0.776,0.169
0.123,0.716,0.16
0.0,1.0,0.0
0.123,0.716,0.16
0.105,0.524,0.371
0.098,0.902,0.0
0.123,0.716,0.16
0.121,0.879,0.0
0.123,0.716,0.16
0.123,0.716,0.16
0.123,0.716,0.16
0.123,0.716,0.16
0.0,0.87,0.13
0.0,0.516,0.484
0.0,1.0,0.0
0.0,1.0,0.0
0.122,0.878,0.0
0.0,1.0,0.0
0.135,0.865,0.0
0.135,0.865,0.0
0.135,0.865,0.0
0.0,0.922,0.078
0.162,0.773,0.064
0.078,0.653,0.269
0.122,0.878,0.0
0.105,0.895,0.0
0.0,0.863,0.137
0.0,1.0,0.0
0.0,0.842,0.158
0.0,0.816,0.184
0.0,0.924,0.076
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.909,0.091
0.0,1.0,0.0
0.0,1.0,0.0
0.065,0.74,0.195
0.0,0.879,0.121
0.0,0.816,0.184
0.0,0.842,0.158
0.0,1.0,0.0
0.117,0.753,0.13
0.115,0.885,0.0
0.117,0.753,0.13
0.117,0.753,0.13
0.228,0.772,0.0
0.124,0.876,0.0
0.115,0.885,0.0
0.0,0.842,0.158
0.0,1.0,0.0
0.0,0.819,0.181
0.115,0.885,0.0
0.0,1.0,0.0
0.0,0.914,0.086
0.115,0.885,0.0
0.228,0.772,0.0
0.121,0.879,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.868,0.132
0.0,0.73,0.27
0.0,1.0,0.0
0.0,0.915,0.085
0.228,0.772,0.0
0.124,0.765,0.111
0.0,0.915,0.085
0.0,1.0,0.0
0.13,0.87,0.0
0.0,0.915,0.085
0.054,0.689,0.257
0.0,1.0,0.0
0.115,0.885,0.0
0.0,1.0,0.0
0.06,0.816,0.124
0.06,0.816,0.124
0.0,0.915,0.085
0.0,0.816,0.184
0.064,0.734,0.202
0.0,0.816,0.184
0.0,0.816,0.184
0.0,0.816,0.184
0.0,1.0,0.0
0.0,0.915,0.085
0.158,0.67,0.172
0.0,0.951,0.049
0.0,0.955,0.045
0.224,0.599,0.177
0.091,0.909,0.0
0.0,1.0,0.0
0.101,0.899,0.0
0.091,0.909,0.0
0.224,0.599,0.177
0.101,0.899,0.0
0.224,0.599,0.177
0.137,0.771,0.093
0.072,0.872,0.055
0.072,0.872,0.055
0.159,0.841,0.0
0.0,1.0,0.0
0.202,0.798,0.0
0.091,0.909,0.0
0.137,0.771,0.093
0.159,0.841,0.0
0.0,1.0,0.0
0.159,0.725,0.117
0.137,0.771,0.093
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.137,0.771,0.093
0.0,1.0,0.0
0.216,0.498,0.287
0.101,0.899,0.0
0.224,0.599,0.177
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.224,0.599,0.177
0.032,0.86,0.109
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.881,0.119
0.319,0.592,0.089
0.091,0.909,0.0
0.107,0.65,0.243
0.137,0.771,0.093
0.0,1.0,0.0
0.0,0.601,0.399
0.091,0.909,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.938,0.062
0.134,0.866,0.0
0.0,1.0,0.0
0.091,0.909,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.075,0.806,0.119
0.052,0.948,0.0
0.159,0.841,0.0
0.101,0.899,0.0
0.0,1.0,0.0
0.101,0.899,0.0
0.21,0.79,0.0
0.137,0.771,0.093
0.101,0.899,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.04,0.96,0.0
0.0,1.0,0.0
0.056,0.816,0.128
0.101,0.899,0.0
0.0,1.0,0.0
0.137,0.771,0.093
0.04,0.96,0.0
0.04,0.96,0.0
0.059,0.941,0.0
0.0,1.0,0.0
0.224,0.599,0.177
0.0,1.0,0.0
0.284,0.651,0.065
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.224,0.599,0.177
0.0,1.0,0.0
0.0,0.821,0.179
0.101,0.899,0.0
0.156,0.844,0.0
0.224,0.599,0.177
0.0,0.951,0.049
0.115,0.885,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.137,0.771,0.093
0.211,0.7,0.09
0.0,1.0,0.0
0.224,0.599,0.177
0.0,1.0,0.0
0.0,1.0,0.0
0.137,0.771,0.093
0.0,0.944,0.056
0.0,1.0,0.0
0.101,0.899,0.0
0.224,0.599,0.177
0.0,1.0,0.0
0.132,0.638,0.23
0.0,1.0,0.0
0.0,1.0,0.0
0.143,0.633,0.224
0.137,0.771,0.093
0.224,0.599,0.177
0.141,0.859,0.0
0.0,1.0,0.0
0.137,0.771,0.093
0.137,0.771,0.093
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.909,0.091
0.274,0.726,0.0
0.137,0.771,0.093
0.0,1.0,0.0
0.137,0.771,0.093
0.137,0.771,0.093
0.137,0.771,0.093
0.0,1.0,0.0
0.137,0.771,0.093
0.0,0.947,0.053
0.137,0.771,0.093
0.137,0.771,0.093
0.0,0.951,0.049
0.0,1.0,0.0
0.0,1.0,0.0
0.224,0.599,0.177
0.137,0.771,0.093
0.0,1.0,0.0
0.137,0.771,0.093
0.143,0.633,0.224
0.0,0.876,0.124
0.143,0.633,0.224
0.143,0.633,0.224
0.188,0.812,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.876,0.124
0.0,1.0,0.0
0.284,0.651,0.065
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.137,0.771,0.093
0.0,1.0,0.0
0.0,1.0,0.0
0.358,0.642,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.947,0.053
0.137,0.771,0.093
0.137,0.771,0.093
0.137,0.771,0.093
0.137,0.771,0.093
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.791,0.209
0.0,1.0,0.0
0.122,0.878,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.224,0.599,0.177
0.0,1.0,0.0
0.224,0.599,0.177
0.0,1.0,0.0
0.0,1.0,0.0
0.137,0.771,0.093
0.04,0.96,0.0
0.04,0.96,0.0
0.152,0.848,0.0
0.137,0.771,0.093
0.0,1.0,0.0
0.0,0.947,0.053
0.137,0.771,0.093
0.137,0.771,0.093
0.239,0.761,0.0
0.137,0.771,0.093
0.0,1.0,0.0
0.224,0.599,0.177
0.235,0.765,0.0
0.0,1.0,0.0
0.159,0.841,0.0
0.224,0.599,0.177
0.0,1.0,0.0
0.137,0.771,0.093
0.137,0.771,0.093
0.224,0.599,0.177
0.0,1.0,0.0
0.0,1.0,0.0
0.137,0.771,0.093
0.151,0.849,0.0
0.137,0.771,0.093
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.101,0.899,0.0
0.0,1.0,0.0
0.224,0.599,0.177
0.192,0.675,0.133
0.061,0.905,0.034
0.061,0.905,0.034
0.0,1.0,0.0
0.329,0.622,0.049
0.137,0.771,0.093
0.224,0.599,0.177
0.137,0.771,0.093
0.137,0.771,0.093
0.0,1.0,0.0
0.0,0.708,0.292
0.0,1.0,0.0
0.0,1.0,0.0
0.032,0.86,0.109
0.224,0.599,0.177
0.088,0.912,0.0
0.0,0.708,0.292
0.137,0.771,0.093
0.159,0.841,0.0
0.329,0.622,0.049
0.106,0.814,0.08
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.279,0.721,0.0
0.156,0.844,0.0
0.116,0.884,0.0
0.15,0.85,0.0
0.224,0.599,0.177
0.329,0.622,0.049
0.224,0.599,0.177
0.174,0.826,0.0
0.14,0.86,0.0
0.224,0.599,0.177
0.224,0.599,0.177
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.224,0.599,0.177
0.224,0.599,0.177
0.065,0.85,0.085
0.0,1.0,0.0
0.057,0.943,0.0
0.123,0.877,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.224,0.599,0.177
0.0,1.0,0.0
0.224,0.599,0.177
0.15,0.85,0.0
0.0,1.0,0.0
0.224,0.599,0.177
0.224,0.599,0.177
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.047,0.901,0.052
0.224,0.599,0.177
0.224,0.599,0.177
0.329,0.622,0.049
0.106,0.814,0.08
0.0,1.0,0.0
0.0,1.0,0.0
0.224,0.599,0.177
0.0,0.955,0.045
0.329,0.622,0.049
0.224,0.599,0.177
0.224,0.599,0.177
0.0,1.0,0.0
0.224,0.599,0.177
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.137,0.771,0.093
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.173,0.533,0.293
0.093,0.907,0.0
0.224,0.599,0.177
0.224,0.599,0.177
0.0,1.0,0.0
0.224,0.599,0.177
0.224,0.599,0.177
0.0,1.0,0.0
0.224,0.599,0.177
0.224,0.599,0.177
0.0,0.899,0.101
0.284,0.651,0.065
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.224,0.599,0.177
0.159,0.841,0.0
0.0,1.0,0.0
0.224,0.599,0.177
0.329,0.622,0.049
0.249,0.751,0.0
0.224,0.599,0.177
0.0,1.0,0.0
0.137,0.771,0.093
0.224,0.599,0.177
0.224,0.599,0.177
0.137,0.771,0.093
0.224,0.599,0.177
0.0,0.947,0.053
0.224,0.599,0.177
0.0,0.955,0.045
0.122,0.878,0.0
0.224,0.599,0.177
0.224,0.599,0.177
0.088,0.912,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.159,0.841,0.0
0.224,0.599,0.177
0.224,0.599,0.177
0.224,0.599,0.177
0.065,0.85,0.085
0.224,0.599,0.177
0.224,0.599,0.177
0.165,0.835,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.224,0.599,0.177
0.224,0.599,0.177
0.224,0.599,0.177
0.137,0.771,0.093
0.224,0.599,0.177
0.224,0.599,0.177
0.224,0.599,0.177
0.0,1.0,0.0
0.224,0.599,0.177
0.224,0.599,0.177
0.0,1.0,0.0
0.224,0.599,0.177
0.159,0.841,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.065,0.85,0.085
0.0,1.0,0.0
0.049,0.799,0.152
0.0,1.0,0.0
0.137,0.771,0.093
0.091,0.826,0.083
0.0,1.0,0.0
0.0,0.955,0.045
0.0,0.947,0.053
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.159,0.841,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.065,0.85,0.085
0.137,0.771,0.093
0.0,1.0,0.0
0.0,1.0,0.0
0.159,0.841,0.0
0.394,0.606,0.0
0.0,0.939,0.061
0.137,0.771,0.093
0.0,1.0,0.0
0.046,0.954,0.0
0.0,1.0,0.0
0.069,0.931,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.052,0.795,0.153
0.137,0.771,0.093
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.947,0.053
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.115,0.885,0.0
0.137,0.771,0.093
0.0,1.0,0.0
0.0,1.0,0.0
0.137,0.771,0.093
0.0,1.0,0.0
0.0,1.0,0.0
0.129,0.656,0.215
0.0,1.0,0.0
0.069,0.931,0.0
0.284,0.651,0.065
0.137,0.771,0.093
0.069,0.931,0.0
0.104,0.865,0.032
0.175,0.724,0.101
0.0,1.0,0.0
0.0,1.0,0.0
0.075,0.925,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.955,0.045
0.137,0.771,0.093
0.199,0.745,0.056
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.182,0.818,0.0
0.196,0.804,0.0
0.085,0.915,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.137,0.771,0.093
0.199,0.745,0.056
0.0,1.0,0.0
0.137,0.771,0.093
0.0,1.0,0.0
0.237,0.671,0.093
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.127,0.873,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.03,0.852,0.118
0.0,1.0,0.0
0.0,0.955,0.045
0.2,0.771,0.029
0.092,0.799,0.109
0.0,1.0,0.0
0.153,0.847,0.0
0.083,0.917,0.0
0.2,0.771,0.029
0.137,0.771,0.093
0.224,0.776,0.0
0.0,1.0,0.0
0.083,0.917,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.101,0.899,0.0
0.0,0.942,0.058
0.057,0.943,0.0
0.199,0.745,0.056
0.0,1.0,0.0
0.0,1.0,0.0
0.183,0.771,0.046
0.0,1.0,0.0
0.108,0.787,0.105
0.137,0.771,0.093
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.052,0.948,0.0
0.0,1.0,0.0
0.152,0.848,0.0
0.137,0.771,0.093
0.101,0.899,0.0
0.152,0.848,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.104,0.865,0.032
0.0,1.0,0.0
